wavelength,intensity,metadata
895.636,2.29752,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.593,2.32161,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.55,2.3071,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.507,2.33549,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.464,2.32707,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.421,2.35239,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.378,2.36374,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.334,2.34414,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.291,2.34104,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.248,2.3468,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.205,2.33836,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.162,2.32992,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.119,2.36328,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.076,2.35256,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.033,2.33298,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.989,2.34529,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.946,2.36037,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.903,2.34206,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.86,2.37027,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.817,2.33199,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.774,2.33417,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.731,2.35755,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.687,2.35365,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.644,2.36161,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.601,2.39556,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
